作品名,ソート用読み,副題,姓,名,姓読みソート用,名読みソート用,作品著作権フラグ
或阿呆の一生,あるあほうのいつしよう,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
芋粥,いもかゆ,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
河童,かつは,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
地獄変,しこくへん,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
トロッコ,とろつこ,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
鼻,はな,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
雛,ひな,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
蜜柑,みかん,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
羅生門,らしようもん,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
六の宮の姫君,ろくのみやのひめきみ,,芥川,龍之介,あくたかわ,りゆうのすけ,なし
こころ,こころ,,夏目,漱石,なつめ,そうせき,なし
三四郎,さんしろう,,夏目,漱石,なつめ,そうせき,なし
それから,それから,,夏目,漱石,なつめ,そうせき,なし
手紙,てかみ,,夏目,漱石,なつめ,そうせき,なし
文芸委員は何をするか,ふんけいいいんはなにをするか,,夏目,漱石,なつめ,そうせき,なし
坊っちやん,ほつちやん,,夏目,漱石,なつめ,そうせき,なし
道草,みちくさ,,夏目,漱石,なつめ,そうせき,なし
明暗,めいあん,,夏目,漱石,なつめ,そうせき,なし
門,もん,,夏目,漱石,なつめ,そうせき,なし
吾輩は猫である,わかはいはねこてある,,夏目,漱石,なつめ,そうせき,なし
オツベルと象,おつへるとそう,,宮沢,賢治,みやさわ,けんし,なし
銀河鉄道の夜,きんかてつとうのよる,,宮沢,賢治,みやさわ,けんし,なし
グスコーブドリの伝記,くすこおふとりのてんき,,宮沢,賢治,みやさわ,けんし,なし
水部の線,すいふのせん,,宮沢,賢治,みやさわ,けんし,なし
セロ弾きのゴーシュ,せろひきのこおしゆ,,宮沢,賢治,みやさわ,けんし,なし
注文の多い料理店,ちゆうもんのおおいりようりてん,,宮沢,賢治,みやさわ,けんし,なし
春と修羅,はるとしゆら,,宮沢,賢治,みやさわ,けんし,なし
ひかりの素足,ひかりのすあし,,宮沢,賢治,みやさわ,けんし,なし
火の島,ひのしま,,宮沢,賢治,みやさわ,けんし,なし
山男の四月,やまおとこのしかつ,,宮沢,賢治,みやさわ,けんし,なし